"reading_id","node_name","temperature","humidity","light_intensity","timeposted"
"1","Node2","26.7","79.7","1359","2024-12-09 21:26:24"
"2","Node2","26.7","79.8","1343","2024-12-09 21:26:24"
"3","Node2","26.7","79.8","1343","2024-12-09 21:26:29"
"4","Node2","26.6","79.8","1354","2024-12-09 21:26:34"
"5","Node2","26.6","79.9","1338","2024-12-09 21:26:39"
"6","Node2","26.6","79.9","1370","2024-12-09 21:26:44"
"7","Node2","26.6","79.9","1339","2024-12-09 21:26:49"
"8","Node2","26.6","80","1357","2024-12-09 21:26:54"
"9","Node2","26.6","80","1357","2024-12-09 21:26:59"
"10","Node2","26.6","80","1360","2024-12-09 21:27:04"
"11","Node2","26.6","80","1359","2024-12-09 21:27:09"
"12","Node2","26.6","80","1356","2024-12-09 21:27:14"
"13","Node2","26.6","80","1354","2024-12-09 21:27:19"
"14","Node2","26.6","80","1356","2024-12-09 21:27:24"
"15","Node2","26.6","80","1356","2024-12-09 21:27:29"
"16","Node2","26.6","79.9","1360","2024-12-09 21:27:34"
"17","Node2","26.6","79.9","1360","2024-12-09 21:27:39"
"18","Node2","26.6","79.9","1360","2024-12-09 21:27:44"
"19","Node2","26.6","80","1354","2024-12-09 21:27:49"
"20","Node2","26.5","80","1357","2024-12-09 21:27:54"
"21","Node2","26.5","80","1357","2024-12-09 21:27:59"
"22","Node2","26.5","80.1","1367","2024-12-09 21:28:15"
"23","Node2","26.5","80.1","1402","2024-12-09 21:28:20"
"24","Node2","26.6","80.1","1351","2024-12-09 21:28:25"
"25","Node2","26.6","80.1","1360","2024-12-09 21:28:33"
"26","Node2","26.6","80","1395","2024-12-09 21:28:35"
"27","Node2","26.6","80","1395","2024-12-09 21:28:41"
"28","Node2","26.6","80","1350","2024-12-09 21:28:46"
"29","Node2","26.6","80","1369","2024-12-09 21:28:50"
"30","Node2","26.6","80","1354","2024-12-09 21:28:56"
"31","Node2","26.6","80","1361","2024-12-09 21:29:01"
"32","Node2","26.6","80","1359","2024-12-09 21:29:06"
"33","Node2","26.6","80.1","1359","2024-12-09 21:29:13"
"34","Node2","26.6","80","1337","2024-12-09 21:29:18"
"35","Node2","26.6","80","1329","2024-12-09 21:29:20"
"36","Node2","26.6","80","1527","2024-12-09 21:29:26"
"37","Node2","26.6","80","1527","2024-12-09 21:29:30"
"38","Node2","26.6","80","1347","2024-12-09 21:29:35"
"39","Node2","26.6","80","1360","2024-12-09 21:29:40"
"40","Node2","26.6","80","1359","2024-12-09 21:29:45"
"41","Node2","26.6","79.9","1353","2024-12-09 21:29:50"
"42","Node2","26.6","80","1356","2024-12-09 21:29:56"
"43","Node2","26.6","80","1356","2024-12-09 21:30:01"
"44","Node2","26.6","80","1357","2024-12-09 21:30:06"
"45","Node2","26.6","80","1362","2024-12-09 21:30:10"
"46","Node2","26.6","80","1353","2024-12-09 21:30:16"
"47","Node2","26.6","80","1363","2024-12-09 21:30:20"
"48","Node2","26.6","80","1363","2024-12-09 21:30:25"
"49","Node2","26.6","80","1363","2024-12-09 21:30:31"
"50","Node2","26.6","80","1360","2024-12-09 21:30:36"
"51","Node2","26.6","80","1362","2024-12-09 21:30:40"
"52","Node2","26.6","80","1353","2024-12-09 21:30:45"
